TimeElapsed(s),GazeX,GazeY,PlayerScore
18.64921,1225.302,1094.728,1
18.68335,607.5112,849.1168,1
18.71576,551.5089,838.9446,1
18.74788,544.3533,847.2329,1
18.78394,533.4329,856.2648,1
18.81581,529.3946,849.3024,1
18.847,534.3658,836.2139,1
18.8842,538.7334,836.0635,1
18.91526,533.2417,837.1396,1
18.94986,535.0831,841.8921,1
18.98064,529.4304,850.2369,1
19.01382,520.9845,847.051,1
19.04722,521.2194,849.7265,1
19.08406,518.4639,855.0126,1
19.11417,521.4902,851.3046,1
19.14841,522.438,838.4882,1
19.18003,511.8363,838.2889,1
19.21602,514.8737,838.7225,1
19.25097,519.316,842.8647,1
19.28305,507.3565,851.8197,1
19.31483,496.5973,855.0267,1
19.3524,496.3604,852.064,1
19.38043,496.6717,851.933,1
19.41453,488.8459,846.6373,1
19.44721,473.6562,845.7937,1
19.48096,465.4035,846.3857,1
19.51814,462.6354,848.2404,1
19.55157,445.8789,845.6425,1
19.5825,421.7497,840.1403,1
19.61802,401.0926,841.8365,1
19.65271,381.8304,833.6102,1
19.68349,336.4268,769.7923,1
19.71655,289.6172,721.778,1
19.74794,274.447,712.9017,1
19.78373,263.1261,708.6654,1
19.81458,247.7988,714.0433,1
19.8524,235.6774,715.7009,1
