TimeElapsed(s),GazeX,GazeY
15.3512,1885.736,426.2455
15.38281,1899.973,419.9073
15.41493,1903.437,420.4369
15.45458,1903.355,422.1765
15.48365,1895.906,436.4644
15.51449,1888.761,429.1382
15.54769,1886.166,418.3402
15.5809,1886.845,454.8863
15.61345,1881.101,450.0563
15.64796,1890.762,416.155
15.6833,1938.15,232.0879
15.71466,1981.571,-3.832126
15.76357,2118.384,-210.4628
15.78119,2118.384,-210.4628
15.81433,2342.353,-188.7045
15.85014,2112.475,-366.5765
15.88124,1949.022,-147.1988
15.91695,1967.761,-108.7413
15.94671,1980.093,-63.0535
15.98426,2030.182,-56.63268
16.01697,2049.174,-55.95509
16.05087,2042.789,-44.17354
16.0831,2045.415,-22.98593
16.11896,2049.007,-21.03955
16.15112,1989.264,-29.42928
16.18391,1972.688,-45.31178
16.22024,2001.322,-37.34201
16.24843,2037.565,-22.61733
16.28009,2003.728,-7.606058
16.31736,2015.337,-4.918356
16.34996,2019.813,-2.678432
16.38232,2025.073,-7.184415
16.41817,2048.406,-22.84251
16.45096,2066.252,-28.5175
16.483,2078.283,-13.80621
16.52349,2026.4,5.870304
16.54775,2026.048,15.1919
16.58425,2017.476,14.06756
16.6155,1998.411,20.48388
16.64846,2011.195,18.41969
16.68407,2030.805,-17.93291
16.71531,2050.999,29.53724
16.74994,2055.358,127.6116
16.78742,2058.91,140.1177
16.82859,2072.404,125.4259
16.85143,2065.282,110.7468
16.88334,2078.912,97.50967
16.91842,2061.789,109.4885
16.94861,2063.87,124.7021
16.98013,2083.128,125.1133
17.01677,2053.237,122.4478
17.04785,2038.007,121.9695
17.08431,1939.987,268.2536
17.11665,1769.078,475.8185
17.14742,1734.407,558.1628
17.18415,1773.741,594.2922
17.21572,1780.53,606.8968
17.24677,1781.074,626.7131
17.28206,1780.841,650.0764
17.32036,1781.578,670.5627
17.34822,1785.714,679.1552
17.38482,1787.256,676.9075
17.4203,1778.153,666.1195
17.46764,1780.191,667.2936
17.48507,1785.341,663.4664
17.51422,1794.464,663.9022
17.5495,1783.807,666.4109
17.58014,1785.395,671.7199
17.6164,1796.288,681.7719
17.65198,1787.387,674.9873
17.6847,1784.906,671.0572
17.71475,1791.749,671.2725
17.74957,1780.732,660.1218
17.7827,1771.778,660.4631
17.81491,1780.497,661.1387
17.84983,1783.648,659.5951
17.88533,1779.756,664.0918
17.9137,1780.99,665.4325
17.95013,1786.802,674.6844
17.98211,1792.454,678.0711
18.01855,1790.282,672.4998
18.04932,1787.765,677.0637
18.08274,1790.713,677.3158
18.11534,1793.063,678.0991
18.1495,1782.616,690.2029
18.18189,1783.892,698.5696
18.21523,1781.838,702.7903
18.24991,1782.109,693.0984
18.28394,1786.674,697.0873
18.31634,1790.551,711.5021
18.35149,1785.77,718.186
18.38211,1784.725,712.2603
18.41733,1785.599,702.3943
18.45104,1784.627,704.5316
18.48379,1790.369,715.0978
18.51753,1796.881,730.9783
18.55077,1793.049,735.7194
18.58283,1789.612,731.4513
18.61674,1789.741,724.2424
18.65269,1789.816,725.4235
18.68532,1790.2,726.6166
18.71791,1778.353,723.014
18.74893,1772.227,727.0908
18.78144,1762.87,714.0002
18.81703,1762.7,724.6849
18.85052,1762.555,739.4315
18.88347,1767.486,747.0634
18.91371,1767.55,749.9362
18.95889,1756.65,757.2386
18.98157,1753.53,764.3937
19.01488,1754.574,766.3978
19.04728,1755.221,766.5508
19.08364,1742.772,766.6933
19.11775,1738.537,767.0812
19.14675,1738.342,772.3778
19.18069,1729.125,778.3392
19.21348,1732.247,783.9293
19.24713,1747.555,776.2148
19.28348,1745.052,772.3992
19.31581,1725.168,777.9094
19.34759,1729.855,780.8129
19.38074,1736.83,792.3362
19.41645,1735.961,776.7446
19.45239,1729.767,779.8907
19.48485,1725.049,771.2325
19.51569,1737.485,769.4431
19.55191,1736.845,777.951
19.58417,1742.446,775.9278
19.6165,1727.271,771.6992
19.64828,1791.702,740.1078
19.68277,1959.484,698.7493
19.72033,2006.672,688.374
19.74781,2003.21,690.8519
19.78073,2017.305,692.5319
19.81441,2016.574,699.3734
19.8474,2015.268,702.009
19.88275,2018.1,695.0763
19.91646,2008.315,684.4892
19.94762,1934.106,632.0906
19.98327,1671.017,553.053
20.02383,1303.263,421.2219
20.04768,1303.263,421.2219
20.0813,1211.775,-15.01938
20.11671,1237.11,-259.5561
20.14756,1286.241,-435.6238
20.18386,1369.654,-493.3813
20.21708,1329.861,-390.6452
20.24788,1360.516,-336.1488
20.28422,1501.157,-342.993
20.31636,1762.929,-132.6522
20.34868,1692.605,-377.4035
20.38577,1831.139,-283.4752
20.41368,1746.514,-115.6962
20.45062,1364.938,-672.381
20.48173,1529.789,-450.7977
20.51688,1559.105,-227.533
20.54715,1467.338,-284.2396
20.58064,1508.767,-346.3542
20.61842,1516.02,-335.7958
20.65177,1510.576,-345.0439
20.68069,1473.048,-304.5252
20.71539,1613.949,-333.553
20.75293,1684.01,-284.9822
20.78778,1640.538,-247.4877
20.81514,1404.909,-67.49459
20.84907,971.4651,268.9035
20.88299,723.2301,442.3656
20.91659,702.7484,465.7797
20.95155,706.84,489.7346
20.9823,682.7855,537.7621
21.01418,669.1732,582.0313
21.05155,688.6928,657.7844
21.0922,734.7061,748.1089
21.11655,780.9167,807.6572
21.15029,783.3835,820.2963
21.18133,837.4397,823.6499
21.21561,996.8479,843.6865
21.24987,1110.024,870.2906
21.28183,1109.845,885.0547
21.31589,1100.402,884.3779
21.35188,1107.362,882.7451
21.38209,1109.641,889.7889
21.41632,1109.73,891.7222
21.44685,1106.642,884.093
21.4806,1099.198,887.2833
21.51368,1095.731,890.4307
21.54765,1094.064,890.7058
21.58044,1381.229,836.6092
21.61516,1982.988,688.2575
21.64981,2259.433,546.8508
21.6841,2242.238,540.3762
21.71653,2223.632,542.2143
21.74852,2096.483,504.7313
21.78364,1918.474,437.1642
21.81471,1855.988,405.7332
21.8549,1856.398,405.6448
21.88234,1853.046,399.6563
21.91334,1850.922,402.1143
21.94944,1854.411,400.6058
21.98164,1841.844,407.5567
22.01543,1808.127,403.0131
22.05094,1807.692,399.4983
22.08226,1809.715,407.3759
22.11554,1811.324,397.2866
22.15635,1808.523,385.8009
22.18075,1794.649,385.6572
22.21781,1775.932,396.8758
22.25197,1770.554,409.7713
22.28403,1774.96,408.291
22.315,1792.623,396.8914
22.34762,1802.332,403.2761
22.3824,1795.806,415.651
22.41469,1796.59,427.2717
22.46103,1799.046,419.1844
22.48161,1795.082,416.4318
22.51541,1805.134,437.7171
22.54867,1822.205,456.3169
22.58348,1837.315,446.3855
22.61415,1819.773,435.3694
22.64961,1815.078,440.1095
22.68205,1818.475,446.9623
22.71768,1819.385,453.8759
22.74914,1812.007,440.7465
22.78184,1790.554,431.2148
22.81843,1796.617,443.2465
22.8497,1824.077,446.1938
22.88134,1817.8,439.1312
22.92156,1810.434,354.3402
22.94811,1810.434,354.3402
22.98146,1839.827,334.6756
23.01386,1834.624,319.4503
23.04814,1746.918,325.3569
23.08149,1593.581,306.9768
23.11505,1511.459,295.4725
23.14715,1506.072,281.3562
23.1803,1521.361,259.3375
23.21386,1479.77,277.6447
23.24675,1457.247,291.1572
23.28202,1478.816,284.832
23.31602,1394.146,256.7503
23.34959,1238.705,240.2899
23.38158,1170.61,248.7027
23.41611,1154.81,251.3919
23.44853,1148.022,229.4635
23.48322,1143.65,219.421
23.51614,1119.515,224.7023
23.54906,1105.884,227.8909
23.58353,1093.742,226.6385
23.61582,1070.412,231.7425
23.65025,1139.236,229.0109
23.68979,1432.474,264.5473
23.71789,1631.267,289.306
23.75062,1606.951,295.3339
23.78061,1581.254,298.2488
23.81866,1558.189,297.9092
23.84853,1548.889,297.7086
23.88153,1550.073,292.3633
23.91376,1546.161,294.53
23.94977,1539.854,288.5888
23.98124,1536.702,294.4887
24.0162,1527.169,309.4557
24.04888,1680.25,412.8539
24.08004,1902.641,556.6763
24.11594,1962.446,618.7281
24.14991,1942.166,640.4926
24.18437,1936.778,669.2796
24.21583,1935.768,686.3732
24.24867,1931.852,682.6872
24.28262,1927.796,688.3163
24.31526,1926.811,684.6198
24.34676,1928.918,696.5279
24.38256,1930.831,705.3929
24.41538,1918.957,697.332
24.45141,1913.795,689.8582
24.48088,1916.246,696.1204
24.51358,1911.325,709.2278
24.5514,1930.937,722.8164
24.5846,1928.862,714.5345
24.61559,1921.661,707.4414
24.64818,1918.421,717.4599
24.68118,1914.045,716.4144
24.71374,1906.712,700.887
24.7617,1902.162,685.6549
24.78249,1899.583,676.7226
24.81688,1879.54,633.6885
24.84936,1839.056,548.275
24.88091,1821.238,506.9698
24.9157,1826.148,515.8538
24.94842,1816.488,516.249
24.98119,1803.45,523.47
25.01431,1800.377,507.7906
25.04695,1801.333,491.633
25.08278,1795.883,497.2055
25.11493,1795.763,496.3708
25.15128,1803.135,488.1044
25.1845,1800.167,458.2447
25.21912,1803.618,448.7735
25.24888,1842.816,385.8636
25.28047,1838.52,309.1841
25.31352,1820.638,306.0529
25.34815,1839.277,323.0904
25.38376,1829.76,284.5201
25.41632,1823.691,234.4394
25.44846,1825.281,226.0818
25.48112,1827.759,219.4326
25.51351,1815.723,204.58
25.55283,1774.297,215.0269
25.58063,1703.515,143.8158
25.61687,1696.439,148.2321
25.64703,1756.897,244.7988
